id,lat,lon,user,uid,version,changeset,timestamp
53067230,37.5765264,-122.051782,StellanL,28775,4,3594725,2010-01-11T11:24:43Z
53068129,37.549398,-122.0336293,bill42,482916,5,13178918,2012-09-20T04:22:41Z
53068633,37.8037006,-122.2395992,oba510,933797,3,15091963,2013-02-19T16:37:32Z
53068996,37.5731989,-122.0184636,woodpeck_fixbot,147510,4,2498408,2009-09-16T05:24:57Z
53070045,37.6656677,-122.0304844,RichRico,2219338,5,49575140,2017-06-15T21:37:09Z
53070175,37.6528759,-122.0894767,Brian@Brea,416346,6,19579169,2013-12-22T10:41:34Z
53070334,37.849404,-122.2522931,oba510,933797,8,47002077,2017-03-20T05:31:40Z
53070612,37.6849288,-122.0666025,ChrisZontine,1376118,3,19244106,2013-12-03T00:46:25Z
53072371,37.8880754,-122.2763649,oba510,933797,11,40227269,2016-06-23T10:39:10Z
53072625,37.5427414,-122.0293996,oba510,933797,3,45775249,2017-02-03T11:12:26Z
53073299,37.5331308,-122.060858,StellanL,28775,4,24027093,2014-07-08T14:44:55Z
53073410,37.7480649,-122.1378766,StellanL,28775,4,3515105,2010-01-01T23:35:12Z
53073464,37.8681041,-122.2567255,oba510,933797,8,40451364,2016-07-03T04:19:14Z
53075989,37.5580379,-122.0417419,bill42,482916,6,13178918,2012-09-20T04:22:40Z
53076638,37.6025091,-122.0543837,StellanL,28775,4,32126257,2015-06-21T21:44:45Z
53077115,37.8043196,-122.2711889,oba510,933797,24,25740140,2014-09-29T07:16:47Z
53077153,37.8344428,-122.2522732,KindredCoda,14293,9,17007313,2013-07-19T04:48:42Z
53077459,37.7358836,-122.1848578,StellanL,28775,4,13138664,2012-09-17T06:02:37Z
53077736,37.8009359,-122.2821905,saikabhi,3029661,11,44921552,2017-01-05T11:02:12Z
53077951,37.8342597,-122.2601685,oba510,933797,7,21810059,2014-04-20T05:40:08Z
53078105,37.7955653,-122.2707335,dchiles,153669,11,43565724,2016-11-11T18:40:53Z
53078331,37.7568225,-122.2427593,StellanL,28775,4,3523505,2010-01-02T22:32:48Z
53078983,37.6375008,-122.0773287,Luis36995,1829683,5,49573784,2017-06-15T20:32:04Z
53081186,37.7333482,-122.0582942,andrewpmk,1679,4,4655980,2010-05-10T05:25:09Z
53081430,37.7404558,-122.240953,JessAk71,381909,4,7229125,2011-02-08T18:20:53Z
53081606,37.8799227,-122.2603313,oba510,933797,5,40643214,2016-07-11T06:11:54Z
53081933,37.8513568,-122.2614725,oba510,933797,4,40625594,2016-07-10T08:34:52Z
53082793,37.8952613,-122.2779985,dchiles,153669,8,34981403,2015-10-30T21:28:54Z
53082951,37.5241754,-122.0553381,StellanL,28775,9,10913641,2012-03-08T20:58:40Z
53083792,37.5728171,-122.065165,davetoo,65950,4,4929008,2010-06-07T15:33:53Z
53084435,37.7249334,-122.1716728,StellanL,28775,5,29113053,2015-02-26T13:26:13Z
53085288,37.8087892,-122.2726677,oba510,933797,18,44722834,2016-12-28T06:27:24Z
53085328,37.6920487,-122.0388075,ChrisZontine,1376118,4,19243682,2013-12-02T23:55:27Z
53086207,37.8425359,-122.2723462,oba510,933797,8,44484680,2016-12-18T08:14:13Z
53086691,37.8772035,-122.2835974,oba510,933797,5,39794634,2016-06-04T09:50:28Z
53087031,37.5324228,-122.0213844,bill42,482916,4,10946644,2012-03-11T18:31:53Z
53087227,37.525116,-122.0378197,KindredCoda,14293,5,5643360,2010-08-31T08:49:35Z
53087763,37.583109,-122.05752,oba510,933797,7,46919800,2017-03-17T07:51:59Z
53087799,37.584659,-122.0146708,StellanL,28775,6,18941419,2013-11-16T20:50:46Z
53088000,37.8878194,-122.298158,Speight,24452,11,2860367,2009-10-16T02:59:18Z
53089307,37.882926,-122.2574737,woodpeck_fixbot,147510,4,3499473,2009-12-31T10:58:44Z
53089400,37.5899406,-122.0557592,StellanL,28775,4,4030006,2010-03-04T03:37:59Z
53090524,37.6887509,-122.1630308,StellanL,28775,4,3405308,2009-12-19T09:50:15Z
53090683,37.8570429,-122.2530597,oba510,933797,13,40494752,2016-07-05T09:05:29Z
53091564,37.6404616,-122.0629777,KindredCoda,14293,5,10996228,2012-03-16T09:16:49Z
53091592,37.7164569,-122.1710655,StellanL,28775,4,25780321,2014-10-01T01:04:55Z
53091671,37.7900812,-122.177265,andygol,94578,5,46437976,2017-02-27T10:08:47Z
53094069,37.7782157,-122.1957057,dchiles,153669,6,15913162,2013-04-29T19:52:18Z
53095003,37.6864961,-122.0572926,-MegaByte-,1745338,5,17853346,2013-09-15T16:32:37Z
53095121,37.831011,-122.2601755,David Muir Sharnoff,22946,7,6103733,2010-10-19T22:44:44Z
53096220,37.6747578,-122.1575462,StellanL,28775,4,3405308,2009-12-19T09:50:30Z
53096366,37.8414355,-122.2767024,oba510,933797,7,44484680,2016-12-18T08:14:13Z
53096401,37.721467,-122.1807488,StellanL,28775,5,13138664,2012-09-17T06:02:35Z
53096461,37.6664935,-122.0904534,StellanL,28775,5,25102521,2014-08-29T18:30:43Z
53096975,37.5640559,-122.0309695,StellanL,28775,5,32126257,2015-06-21T21:44:44Z
53097386,37.5692571,-122.0214716,StellanL,28775,4,3594725,2010-01-11T11:24:08Z
53097904,37.6192609,-122.0571176,andygol,94578,6,46546802,2017-03-03T11:41:46Z
53097936,37.5810941,-122.0715287,oba510,933797,7,46891800,2017-03-16T09:12:38Z
53098239,37.7713279,-122.2728167,nammala,3479270,10,44922122,2017-01-05T11:32:41Z
53098281,37.8018912,-122.2797921,oba510,933797,20,44994098,2017-01-08T06:02:04Z
53098384,37.7314076,-122.0591404,pizza4days,2593828,5,37829806,2016-03-14T20:44:03Z
53098941,37.7647211,-122.1590622,woodpeck_fixbot,147510,3,2498408,2009-09-16T05:34:37Z
53099630,37.5831789,-122.0449499,tahongawaka,162110,5,6459119,2010-11-26T02:38:14Z
53099872,37.6805404,-122.1434822,StellanL,28775,4,25780321,2014-10-01T00:37:12Z
53100225,37.8831001,-122.2616633,oba510,933797,13,40643214,2016-07-11T06:11:54Z
53100563,37.6450714,-122.1011769,StellanL,28775,5,3159438,2009-11-19T12:29:21Z
53100699,37.7565437,-122.1218376,RichRico,2219338,5,45698590,2017-01-31T21:41:27Z
53100890,37.6538473,-122.0386885,ryandrake,1214881,4,15522382,2013-03-28T02:37:42Z
53102013,37.5721309,-122.0241714,woodpeck_fixbot,147510,4,2498408,2009-09-16T05:35:29Z
53102335,37.5514616,-122.0371486,bill42,482916,4,13178918,2012-09-20T04:22:42Z
53102811,37.5725186,-122.0233474,woodpeck_fixbot,147510,4,2172708,2009-08-17T03:14:27Z
53102857,37.6652191,-122.0807049,StellanL,28775,6,25780321,2014-10-01T00:37:12Z
53102948,37.8124732,-122.1968496,andygol,94578,5,46389571,2017-02-25T10:42:15Z
53103321,37.5285679,-122.0194581,woodpeck_fixbot,147510,4,2172708,2009-08-17T03:14:33Z
53103374,37.6819433,-122.1559591,StellanL,28775,5,30130441,2015-04-10T22:22:52Z
53103773,37.6974833,-122.1398341,StellanL,28775,4,5275187,2010-07-20T23:49:33Z
53103807,37.8683542,-122.2545237,oba510,933797,10,39600093,2016-05-27T10:06:55Z
53104009,37.7222048,-122.1942748,karitotp,2748195,8,39276769,2016-05-12T19:57:32Z
53104216,37.6697494,-122.0617473,StellanL,28775,3,8766208,2011-07-19T09:05:52Z
53104357,37.8086363,-122.2759572,dannykath,2226712,19,36824999,2016-01-26T20:39:53Z
53104524,37.7286186,-122.1540692,woodpeck_fixbot,147510,3,2172708,2009-08-17T03:14:52Z
53105065,37.8536601,-122.250241,David Muir Sharnoff,22946,5,4056582,2010-03-07T00:51:45Z
53105102,37.5855009,-122.0186502,tahongawaka,162110,4,6602320,2010-12-10T06:42:56Z
53105202,37.7449451,-122.2429415,StellanL,28775,5,3523505,2010-01-02T22:30:14Z
53107144,37.5747238,-122.078587,NE2,207745,6,6146275,2010-10-23T15:38:07Z
53107524,37.6579648,-122.1116074,StellanL,28775,5,18943005,2013-11-16T21:28:01Z
53107711,37.6969445,-122.0589078,ChrisZontine,1376118,4,19244106,2013-12-03T00:46:25Z
53108280,37.5964413,-122.0675491,woodpeck_fixbot,147510,4,2172708,2009-08-17T03:15:48Z
53109767,37.7023088,-122.089505,woodpeck_fixbot,147510,3,2498408,2009-09-16T05:36:54Z
53110807,37.7424012,-122.1712844,woodpeck_fixbot,147510,3,2498408,2009-09-16T05:37:04Z
53111133,37.7043781,-122.1469161,StellanL,28775,4,9135634,2011-08-27T08:44:20Z
53111398,37.8162167,-122.287114,karitotp,2748195,11,44903600,2017-01-04T17:19:42Z
53111577,37.7009685,-122.0794376,denimboy,696201,5,19871893,2014-01-07T21:29:34Z
53112238,37.6865038,-122.0324338,bill42,482916,5,12386044,2012-07-20T17:54:20Z
53112325,37.679768,-122.1171726,StellanL,28775,4,30131873,2015-04-10T23:10:53Z
53113026,37.802423,-122.2812603,KindredCoda,14293,21,17006957,2013-07-19T03:16:38Z
53113053,37.8129089,-122.2747302,oba510,933797,13,44510063,2016-12-19T08:27:20Z
53113216,37.5984338,-122.0769991,StellanL,28775,5,3585236,2010-01-10T10:06:08Z
53113371,37.7288833,-122.1346886,woodpeck_fixbot,147510,3,2172708,2009-08-17T03:17:24Z
53113413,37.8563754,-122.2161207,StellanL,28775,7,3765959,2010-02-01T09:41:49Z
53113643,37.696029,-122.0557686,woodpeck_fixbot,147510,3,2498408,2009-09-16T05:37:29Z
53113946,37.8291026,-122.2401005,David Muir Sharnoff,22946,5,4427339,2010-04-14T23:05:13Z
53114366,37.708806,-122.0877086,oba510,933797,4,37952321,2016-03-20T09:54:07Z
53114654,37.8356685,-122.2813074,oba510,933797,8,44484680,2016-12-18T08:14:13Z
53114739,37.5892459,-122.0852045,rza31,2137840,4,46239770,2017-02-20T10:26:13Z
53115175,37.7974818,-122.1788362,oba510,933797,6,23960798,2014-07-05T03:06:59Z
53115332,37.872465,-122.266026,oba510,933797,15,47175256,2017-03-26T13:35:57Z
53115509,37.6787619,-122.0326437,DanHomerick,160138,4,11391179,2012-04-23T05:09:02Z
53115582,37.5525397,-122.0324363,bill42,482916,4,13177943,2012-09-20T01:41:52Z
53115624,37.5460987,-122.0428396,woodpeck_fixbot,147510,4,2172708,2009-08-17T03:17:57Z
53115970,37.8662582,-122.2781706,oba510,933797,5,39834595,2016-06-06T09:56:08Z
53117372,37.8527449,-122.2837193,oba510,933797,8,39902099,2016-06-09T08:43:23Z
53117552,37.6199476,-122.065936,andygol,94578,5,46546515,2017-03-03T11:28:36Z
53118327,37.8175674,-122.2637835,upendrakarukonda,4007051,8,44919974,2017-01-05T09:52:20Z
